Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
EUR/USD,EURUSD,B,D,1,PC-DAG,VAR+Granger,Causal,0.005902,0.004122,863589.1573,-0.4338
EUR/USD,EURUSD,B,D,1,PC-DAG,IV-2SLS,Causal,0.004692,0.003496,225765.1653,0.0944
EUR/USD,EURUSD,B,D,5,PC-DAG,CausalImpact,Causal,0.004955,0.00368,116836.1223,-0.0151
EUR/USD,EURUSD,B,D,5,PC-DAG,DML,Causal,0.005377,0.003976,563719.0316,-0.1881
EUR/USD,EURUSD,B,D,5,PC-DAG,VAR+Granger,Causal,0.004938,0.003674,57579.9854,-0.0037
EUR/USD,EURUSD,B,D,5,PC-DAG,IV-2SLS,Causal,0.004972,0.003694,348005.1227,-0.016
EUR/USD,EURUSD,B,D,21,PC-DAG,CausalImpact,Causal,0.004887,0.00363,112649.9617,0.0017
EUR/USD,EURUSD,B,D,21,PC-DAG,DML,Causal,0.005278,0.00398,1741205.8278,-0.1406
EUR/USD,EURUSD,B,D,21,PC-DAG,VAR+Granger,Causal,0.004931,0.00367,48378.2068,-0.0011
EUR/USD,EURUSD,B,D,21,PC-DAG,IV-2SLS,Causal,0.004957,0.003682,174614.4215,-0.0071
GBP/USD,GBPUSD,B,D,1,Heuristic-Z,CausalImpact,Causal,0.005897,0.004551,34933.0813,-0.0192
GBP/USD,GBPUSD,B,D,1,Heuristic-Z,DML,Causal,0.005974,0.004601,170637.0372,-0.044
GBP/USD,GBPUSD,B,D,1,Heuristic-Z,VAR+Granger,Causal,0.005862,0.004523,56118.89,-0.0042
GBP/USD,GBPUSD,B,D,1,Heuristic-Z,IV-2SLS,Causal,0.005543,0.004268,178117.2053,0.1013
GBP/USD,GBPUSD,B,D,5,Heuristic-Z,CausalImpact,Causal,0.005975,0.004602,30878.2335,-0.0496
GBP/USD,GBPUSD,B,D,5,Heuristic-Z,DML,Causal,0.006026,0.004649,497813.8393,-0.0623
GBP/USD,GBPUSD,B,D,5,Heuristic-Z,VAR+Granger,Causal,0.005853,0.004519,32124.3679,-0.0013
GBP/USD,GBPUSD,B,D,5,Heuristic-Z,IV-2SLS,Causal,0.00613,0.004684,296952.6674,-0.0993
GBP/USD,GBPUSD,B,D,21,Heuristic-Z,CausalImpact,Causal,0.005816,0.004479,33855.6481,-0.0089
GBP/USD,GBPUSD,B,D,21,Heuristic-Z,DML,Causal,0.006194,0.004807,2202051.5532,-0.1189
GBP/USD,GBPUSD,B,D,21,Heuristic-Z,VAR+Granger,Causal,0.005853,0.004519,32124.3516,-0.0013
GBP/USD,GBPUSD,B,D,21,Heuristic-Z,IV-2SLS,Causal,0.005966,0.004592,171359.33,-0.0384
GBP/USD,GBPUSD,B,D,1,Expert-DAG,CausalImpact,Causal,0.007597,0.005646,140491.7292,-0.6916
GBP/USD,GBPUSD,B,D,1,Expert-DAG,DML,Causal,0.006092,0.004642,437911.9564,-0.0856
GBP/USD,GBPUSD,B,D,1,Expert-DAG,VAR+Granger,Causal,0.006784,0.004905,667581.1355,-0.345
GBP/USD,GBPUSD,B,D,1,Expert-DAG,IV-2SLS,Causal,0.005543,0.004268,178117.2053,0.1013
GBP/USD,GBPUSD,B,D,5,Expert-DAG,CausalImpact,Causal,0.005835,0.004497,28993.1889,-0.0009
GBP/USD,GBPUSD,B,D,5,Expert-DAG,DML,Causal,0.006365,0.004798,1288878.2216,-0.185
GBP/USD,GBPUSD,B,D,5,Expert-DAG,VAR+Granger,Causal,0.005858,0.004552,137649.028,-0.0028
GBP/USD,GBPUSD,B,D,5,Expert-DAG,IV-2SLS,Causal,0.00613,0.004684,296952.6674,-0.0993
GBP/USD,GBPUSD,B,D,21,Expert-DAG,CausalImpact,Causal,0.005803,0.004467,179945.2821,-0.0047
GBP/USD,GBPUSD,B,D,21,Expert-DAG,DML,Causal,0.006345,0.004926,1887117.0339,-0.1741
GBP/USD,GBPUSD,B,D,21,Expert-DAG,VAR+Granger,Causal,0.005854,0.00452,30601.6019,-0.0015
GBP/USD,GBPUSD,B,D,21,Expert-DAG,IV-2SLS,Causal,0.005966,0.004592,171359.33,-0.0384
GBP/USD,GBPUSD,B,D,1,PC-DAG,CausalImpact,Causal,0.007168,0.005304,1184218.8259,-0.5062
GBP/USD,GBPUSD,B,D,1,PC-DAG,DML,Causal,0.005975,0.004545,1248858.313,-0.0443
GBP/USD,GBPUSD,B,D,1,PC-DAG,VAR+Granger,Causal,0.006537,0.004676,403228.9574,-0.2488
GBP/USD,GBPUSD,B,D,1,PC-DAG,IV-2SLS,Causal,0.005543,0.004268,178117.2053,0.1013
GBP/USD,GBPUSD,B,D,5,PC-DAG,CausalImpact,Causal,0.005831,0.004495,29347.6212,0.0002
GBP/USD,GBPUSD,B,D,5,PC-DAG,DML,Causal,0.006039,0.004686,270375.7876,-0.0667
